Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,# trades,Taker Buy Base,Taker Buy Quote
2022-12-14 12:00:00,273.17,274.44,269.04,272.17,793165.53,2022-12-14 15:59:59,215417426.3171,248488,385749.82,104780812.4159
2022-12-14 16:00:00,272.19,274.09,265.0,267.73,898454.92,2022-12-14 19:59:59,243047973.70954,324980,436029.0,118019677.6843
2022-12-14 20:00:00,267.76,268.94,265.5,267.7,411408.71,2022-12-14 23:59:59,110013843.2553,133327,200862.76,53722606.7773
2022-12-15 00:00:00,267.7,268.14,261.22,265.66,523498.76,2022-12-15 03:59:59,138635208.22817,178366,252130.97,66776233.261
2022-12-15 04:00:00,265.66,266.05,264.25,264.74,257242.13,2022-12-15 07:59:59,68158657.4706,89867,127845.62,33875331.6916
2022-12-15 08:00:00,264.74,267.41,263.62,265.51,362679.82,2022-12-15 11:59:59,96215603.0318,115317,188713.27,50076142.0671
2022-12-15 12:00:00,265.5,265.97,262.07,263.48,477142.23,2022-12-15 15:59:59,125844836.4374,161272,230219.46,60731202.2084
2022-12-15 16:00:00,263.48,263.93,258.44,261.48,465680.08,2022-12-15 19:59:59,121736164.5801,149752,222902.24,58284206.2938
2022-12-15 20:00:00,261.48,261.72,256.5,258.85,475556.63,2022-12-15 23:59:59,122887091.30093,146049,228220.76,58969760.5209
2022-12-16 00:00:00,258.84,262.86,257.6,262.59,371968.59,2022-12-16 03:59:59,97080449.1663,119831,197797.63,51626416.6996
2022-12-16 04:00:00,262.59,264.77,260.5,263.67,319193.93,2022-12-16 07:59:59,83758556.42017,101225,163634.47,42943067.44607
2022-12-16 08:00:00,263.66,263.93,245.86,251.21,1504279.44,2022-12-16 11:59:59,380731157.64589,470051,694010.74,175629625.12149
2022-12-16 12:00:00,251.21,251.72,245.72,247.1,875546.84,2022-12-16 15:59:59,218148202.92241,254902,423367.93,105512152.08109
2022-12-16 16:00:00,247.11,247.2,240.28,244.01,1322942.88,2022-12-16 19:59:59,321226880.17007,362940,640513.1,155539828.471
2022-12-16 20:00:00,244.01,246.62,222.96,230.74,1851613.14,2022-12-16 23:59:59,432763419.27441,525095,868362.57,203020221.26295
2022-12-17 00:00:00,230.73,234.12,218.93,228.7,1920501.31,2022-12-17 03:59:59,435533696.48824,524384,970931.24,220246069.57154
